PR1,U12,pending,2025-01-31,2025-12-31
PR2,U12,approved,2025-05-06,2025-05-06
PR3,U12,pending,2025-05-06,2025-08-15
PR4,U12,approved,2025-05-06,2025-09-20
PR5,U12,approved,2025-05-06,2025-10-06
PR6,U12,pending,2025-05-06,2025-08-25
PR7,U12,approved,2025-05-06,2025-09-06
PR8,U12,late,2025-05-06,2025-08-12
PR9,U12,pending,2025-05-06,2025-09-30
PR10,U12,approved,2025-05-06,2025-08-18
PR11,U12,late,2025-05-06,2025-11-06
PR12,U16,late,2025-05-21,2025-05-31
PR13,U16,approved,2025-05-21,2025-05-31
PR14,U17,late,2025-05-22,2025-05-29
PR15,U15,late,2025-05-22,2025-05-29
PR16,U15,pending,2025-05-28,2025-06-04
PR17,U15,late,2025-05-30,2025-05-31
